,County,netMigration,Year,2010-2011Delta,2012-2011Delta,2013-2012Delta,2014-2013Delta,2015-2014Delta,2016-2015Delta,2017-2016Delta,netMigration2,netMigration3
0,Alameda,36453,2014,3331,3439,3656,3076,6948,8558,7445,36453,0
1,Alpine,20938,2013,2044,1873,2917,1583,-2234,3093,2406,20938,0
2,Amador,16983,2014,1487,1734,1142,1932,900,1834,1784,16983,0
3,Butte,15065,2014,-999,3257,2049,5141,-3036,4076,4577,15065,0
4,Calaveras,14239,2014,1302,932,1598,1723,1183,1983,1508,14239,0
5,Colusa,18942,2014,1921,2421,1543,2334,2021,1921,2057,18942,0
6,Contra Costa,32064,2014,2926,969,5407,5201,2458,7119,7984,32064,0
7,Del Norte,29834,2014,2984,3221,2732,3322,-2843,2698,3064,29834,0
8,El Dorado,14850,2014,-3185,6289,-2158,8510,4656,305,433,14850,0
9,Fresno,13271,2014,-144,-506,1894,1328,2180,4251,4268,13271,0
10,Glenn,18934,2014,1913,2231,1732,2481,1521,2238,2306,18934,0
11,Humboldt,10677,2014,-634,361,-285,356,4144,6494,241,10677,0
12,Imperial,12868,2014,699,-3315,5450,1298,-2598,7278,4056,12868,0
13,Inyo,7342,2014,734,591,903,1132,1342,621,908,7342,0
14,Kern,6883,2014,-384,2655,294,2387,3245,-1423,109,6883,0
15,Kings,9109,2014,3476,110,-2228,-946,7003,868,826,9109,0
16,Lake,19029,2014,3302,-5638,5453,-3829,3465,10095,6181,19029,0
17,Lassen,16092,2014,1623,1922,1302,2084,1423,1845,1896,16092,0
18,Los Angeles,18183,2014,1563,36,3101,2422,3052,3562,4447,18183,0
19,Madera,3710,2014,-7719,-65,631,1852,7188,1909,-86,3710,0
20,Marin,45341,2014,-4432,17144,11491,-1843,10275,2555,10151,45341,0
21,Mariposa,3549,2014,324,521,-234,821,246,382,506,3549,0
22,Mendocino,25002,2014,9724,-6777,10145,-609,-4030,7506,9043,25002,0
23,Merced,9153,2014,-4346,1951,-2332,4390,-488,11459,-1481,9153,0
24,Modoc,7932,2014,814,1032,752,1142,922,826,906,7932,0
25,Mono,12586,2014,1186,1389,890,1421,-1382,1005,-594,12586,0
26,Monterey,17607,2014,-221,1711,2124,5079,2715,2199,4000,17607,0
27,Napa,29926,2014,1892,2170,2296,8207,9769,-5199,10791,29926,0
28,Nevada,30554,2014,6749,2053,-1634,4023,-5758,13689,11432,30554,0
29,Orange,22296,2014,3218,1445,3170,2879,2023,7276,2285,22296,0
30,Placer,20057,2014,214,3618,6242,2627,543,12651,-5838,20057,0
31,Plumas,14945,2014,1532,1384,1822,1946,1428,1627,1722,14945,0
32,Riverside,14268,2014,-645,-832,3192,1186,3397,2513,5457,14268,0
33,Sacramento,17487,2014,299,1545,1576,4767,608,4677,4015,17487,0
34,San Benito,15834,2014,1895,2182,-1682,1225,1832,2232,2024,15834,0
35,San Bernardino,11320,2014,-647,-726,3268,355,1174,3535,4361,11320,0
36,San Diego,23885,2014,-495,2491,4641,3170,988,6567,6523,23885,0
37,San Francisco,50882,2014,2046,4428,9996,1960,14937,10805,6710,50882,0
38,San Joaquin,15968,2014,-384,2010,-1496,4590,771,5778,4699,15968,0
39,San Luis Obispo,19386,2014,-2344,7745,-2349,7545,2142,2256,4391,19386,0
40,San Mateo,52081,2014,11258,-3382,10926,11355,1874,12637,7413,52081,0
41,Santa Barbara,17919,2014,-319,-377,8858,-3869,4272,936,8418,17919,0
42,Santa Clara,45193,2014,4949,4553,5315,5313,7565,9420,8078,45193,0
43,Santa Cruz,30613,2014,2576,8710,-4695,6070,-2132,14891,5193,30613,0
44,Shasta,19362,2014,808,4468,-4490,4853,2776,1744,9203,19362,0
45,Sierra,15872,2014,1497,1742,1842,1935,1283,1602,1621,15872,0
46,Siskiyou,17934,2014,1873,2202,2019,-1722,2023,1947,2004,17934,0
47,Solano,19993,2014,2744,-1505,1932,3075,777,9526,3444,19993,0
48,Sonoma,28378,2014,4597,1847,3137,6789,1926,3598,6484,28378,0
49,Stanislaus,12819,2014,-3733,2771,5528,-1902,4080,3824,2251,12819,0
50,Sutter,10257,2014,3561,1775,2139,2692,-3613,2420,1283,10257,0
51,Tehama,17934,2014,1853,1784,1794,2033,1794,1962,1943,17934,0
52,Trinity,18334,2014,1954,-1704,2253,2194,1724,2246,2132,18334,0
53,Tulare,6988,2014,-1295,-1126,-922,4124,3200,280,2727,6988,0
54,Tuolumne,15382,2014,1621,1884,1395,1989,-1446,1842,1842,15382,0
55,Ventura,16976,2014,493,390,7129,-2561,5263,1605,4657,16976,0
56,Yolo,20421,2014,-392,-249,88,5058,2716,9710,3490,20421,0
57,Yuba,14968,2014,-3370,2734,-4465,3711,10527,1602,4229,14968,0
