,County,netMigration,Year,netMigration2,netMigration3
0,Alameda,3076,2014,3076,0
1,Alpine,1583,2013,1583,0
2,Amador,1932,2014,1932,0
3,Butte,5141,2014,5141,0
4,Calaveras,1723,2014,1723,0
5,Colusa,2334,2014,2334,0
6,Contra Costa,5201,2014,5201,0
7,Del Norte,3322,2014,3322,0
8,El Dorado,8510,2014,8510,0
9,Fresno,1328,2014,1328,0
10,Glenn,2481,2014,2481,0
11,Humboldt,356,2014,356,0
12,Imperial,1298,2014,1298,0
13,Inyo,1132,2014,1132,0
14,Kern,2387,2014,2387,0
15,Kings,-946,2014,0,946
16,Lake,-3829,2014,0,3829
17,Lassen,2084,2014,2084,0
18,Los Angeles,2422,2014,2422,0
19,Madera,1852,2014,1852,0
20,Marin,-1843,2014,0,1843
21,Mariposa,821,2014,821,0
22,Mendocino,-609,2014,0,609
23,Merced,4390,2014,4390,0
24,Modoc,1142,2014,1142,0
25,Mono,1421,2014,1421,0
26,Monterey,5079,2014,5079,0
27,Napa,8207,2014,8207,0
28,Nevada,4023,2014,4023,0
29,Orange,2879,2014,2879,0
30,Placer,2627,2014,2627,0
31,Plumas,1946,2014,1946,0
32,Riverside,1186,2014,1186,0
33,Sacramento,4767,2014,4767,0
34,San Benito,1225,2014,1225,0
35,San Bernardino,355,2014,355,0
36,San Diego,3170,2014,3170,0
37,San Francisco,1960,2014,1960,0
38,San Joaquin,4590,2014,4590,0
39,San Luis Obispo,7545,2014,7545,0
40,San Mateo,11355,2014,11355,0
41,Santa Barbara,-3869,2014,0,3869
42,Santa Clara,5313,2014,5313,0
43,Santa Cruz,6070,2014,6070,0
44,Shasta,4853,2014,4853,0
45,Sierra,1935,2014,1935,0
46,Siskiyou,-1722,2014,0,1722
47,Solano,3075,2014,3075,0
48,Sonoma,6789,2014,6789,0
49,Stanislaus,-1902,2014,0,1902
50,Sutter,2692,2014,2692,0
51,Tehama,2033,2014,2033,0
52,Trinity,2194,2014,2194,0
53,Tulare,4124,2014,4124,0
54,Tuolumne,1989,2014,1989,0
55,Ventura,-2561,2014,0,2561
56,Yolo,5058,2014,5058,0
57,Yuba,3711,2014,3711,0
